Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0BCItdAbnCiMsTQ597np4u,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,0,Spotify wouldn't play this for me so I listened on YouTube on my work PC. Am I cooked?,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:1z8fIjhXQScFYTorZvPNsc,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,3,Can't believe it's already 10 years old. ,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:300bSfVhnNrXHZEHKxQjPU,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,1,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:35lbRFpoCvlpUcMpP9HqDI,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,3,I made the same face as Beehind Honemy Lines. ,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:58IDjL4DptNh76JOGnopu8,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,2,I love any track that could be played in a bar in the Mass Effect universe. Would fit nicely in Dark Star on the Citadel.,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:6YsLTpkcQU8Ec0Ym74qfEx,1af891d6b3bf4540a518ddd5b310e3b9,2026-02-11T11:17:26Z,1,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:0BCItdAbnCiMsTQ597np4u,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,1,"This made me feel like I was falling over but in my ears
",3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:1z8fIjhXQScFYTorZvPNsc,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,2,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:300bSfVhnNrXHZEHKxQjPU,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,2,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:35lbRFpoCvlpUcMpP9HqDI,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,3,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:58IDjL4DptNh76JOGnopu8,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,1,,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:6YsLTpkcQU8Ec0Ym74qfEx,555c7be4f519498e97a6bf62888fb0df,2026-02-11T11:23:09Z,1,A point for nostalgia but I hate this song as my sister used to shout “starlight” as loudly as possible when it came on the radio because my dad thought it funny when we were kids but it fucked me right off it did ,3dd6ae1ed1dc422db30622ab26a2577a
spotify:track:1z8fIjhXQScFYTorZvPNsc,b2fd357c852d458f8ea4fa557c68b37f,2026-02-11T12:19:49Z,2,,3dd6ae1ed1dc422db30622ab26a2577a
